FIPS State Code,FIPS County Code,Pennsylvania County Code,County,Fiscal Year,Sales,Latitude,Longitude,Georeferenced County location
42,083,42,McKean,2018-19,4502767,41.810371,-78.571220,POINT (-78.5712202 41.81037074)
42,019,10,Butler,2018-19,38980038,40.910832,-79.917118,POINT (-79.91711779 40.91083185)
42,087,44,Mifflin,2016-17,3504791,40.612749,-77.620031,POINT (-77.62003089 40.61274928)
42,065,33,Jefferson,2017-18,2952879,41.131391,-79.001018,POINT (-79.00101814 41.13139091)
42,041,21,Cumberland,2017-18,48681506,40.167598,-77.268663,POINT (-77.26866271 40.16759839)
42,075,38,Lebanon,2017-18,14165991,40.367597,-76.461826,POINT (-76.46182575 40.367597)
42,081,41,Lycoming,2016-17,17302290,41.344598,-77.069425,POINT (-77.06942457 41.34459792)
42,053,27,Forest,2016-17,882404,41.513579,-79.237810,POINT (-79.23780995 41.51357876)
42,049,25,Erie,2018-19,49860454,41.994138,-80.040759,POINT (-80.0407591 41.99413787)
42,105,53,Potter,2018-19,1432663,41.744206,-77.898792,POINT (-77.89879229 41.74420644)
42,111,56,Somerset,2016-17,5105295,39.971463,-79.031002,POINT (-79.03100206 39.97146299)
42,095,48,Northampton,2017-18,47391325,40.754595,-75.312637,POINT (-75.31263726 40.7545954)
42,075,38,Lebanon,2018-19,14092019,40.367597,-76.461826,POINT (-76.46182575 40.367597)
42,011,06,Berks,2018-19,59750130,40.419396,-75.930773,POINT (-75.93077327 40.41939635)
42,047,24,Elk,2016-17,2798137,41.428194,-78.649477,POINT (-78.64947713 41.42819416)
42,017,09,Bucks,2016-17,150121813,40.335011,-75.112912,POINT (-75.11291241 40.33501133)
42,017,09,Bucks,2017-18,149377419,40.335011,-75.112912,POINT (-75.11291241 40.33501133)
42,105,53,Potter,2017-18,1364994,41.744206,-77.898792,POINT (-77.89879229 41.74420644)
42,117,59,Tioga,2016-17,3920342,41.773338,-77.257881,POINT (-77.25788076 41.77333834)
42,031,16,Clarion,2017-18,4002161,41.192791,-79.424836,POINT (-79.42483608 41.19279129)
42,035,18,Clinton,2018-19,3124233,41.232863,-77.642838,POINT (-77.6428376 41.23286274)
42,073,37,Lawrence,2016-17,9298849,40.993250,-80.337541,POINT (-80.33754114 40.99325035)
42,069,35,Lackawanna,2018-19,43980981,41.439101,-75.612183,POINT (-75.61218345 41.43910064)
42,025,13,Carbon,2018-19,5630282,40.919367,-75.711070,POINT (-75.71107039 40.91936701)
42,061,31,Huntingdon,2016-17,3427649,40.416105,-77.982766,POINT (-77.9827661 40.416105)
42,103,52,Pike,2016-17,7852769,41.332572,-75.032709,POINT (-75.03270924 41.332572)
42,113,57,Sullivan,2018-19,666134,41.448099,-76.514792,POINT (-76.5147922 41.4480994)
42,099,50,Perry,2018-19,2101778,40.404153,-77.259074,POINT (-77.25907385 40.40415317)
42,039,20,Crawford,2016-17,9502789,41.685469,-80.113211,POINT (-80.11321083 41.68546907)
42,081,41,Lycoming,2017-18,17251198,41.344598,-77.069425,POINT (-77.06942457 41.34459792)
42,009,05,Bedford,2016-17,3787533,40.007375,-78.491165,POINT (-78.49116474 40.00737536)
42,119,60,Union,2017-18,5962830,40.964731,-77.064158,POINT (-77.06415803 40.96473131)
42,005,03,Armstrong,2018-19,4264172,40.815095,-79.473169,POINT (-79.47316899 40.81509526)
42,025,13,Carbon,2017-18,5217753,40.919367,-75.711070,POINT (-75.71107039 40.91936701)
42,123,62,Warren,2018-19,3976619,41.816752,-79.278582,POINT (-79.27858158 41.81675237)
42,055,28,Franklin,2017-18,13906143,39.927862,-77.723988,POINT (-77.72398845 39.92786197)
42,129,65,Westmoreland,2017-18,65265591,40.310315,-79.471341,POINT (-79.47134118 40.310315)
42,095,48,Northampton,2016-17,46878497,40.754595,-75.312637,POINT (-75.31263726 40.7545954)
42,031,16,Clarion,2016-17,3976429,41.192791,-79.424836,POINT (-79.42483608 41.19279129)
42,059,30,Greene,2018-19,2661920,39.854804,-80.229438,POINT (-80.22943817 39.85480393)
42,133,67,York,2018-19,63961675,39.921925,-76.725761,POINT (-76.72576052 39.92192531)
42,003,02,Allegheny,2017-18,300779127,40.467355,-79.986198,POINT (-79.98619843 40.46735543)
42,125,63,Washington,2016-17,32881556,40.191097,-80.251801,POINT (-80.25180083 40.19109663)
42,089,45,Monroe,2018-19,36689435,41.060918,-75.340836,POINT (-75.34083603 41.06091787)
42,047,24,Elk,2017-18,2830483,41.428194,-78.649477,POINT (-78.64947713 41.42819416)
42,089,45,Monroe,2017-18,36203014,41.060918,-75.340836,POINT (-75.34083603 41.06091787)
42,111,56,Somerset,2017-18,5099845,39.971463,-79.031002,POINT (-79.03100206 39.97146299)
42,033,17,Clearfield,2017-18,8074580,41.000429,-78.475583,POINT (-78.47558343 41.000429)
42,067,34,Juniata,2017-18,1193705,40.534330,-77.405775,POINT (-77.405775 40.53433008)
